=== quarterly period coverage (income_statement) ===
Source: tests/fixtures/mini.duckdb
View: per (ticker, fiscal_year, period), MIN(accepted_date) = earliest emission.
Q4 lag = (Q4_first_accepted - FY_first_accepted) in days. A large positive lag means
Q4 didn't appear at the FY filing — it only materialised at the NEXT FY's 10-K.

=== AAPL ===
FY   | Q1             | Q2             | Q3             | Q4             | FY accepted | Q4 accepted | Q4 lag (days)
2021 | Y(2020-12-26)  | Y(2021-03-27)  | Y(2021-06-26)  | Y(2021-09-25)  | 2021-10-29  | 2021-10-29  | +0
2022 | Y(2021-12-25)  | Y(2022-03-26)  | Y(2022-06-25)  | Y(2022-09-24)  | 2022-10-28  | 2022-10-28  | +0
2023 | Y(2022-12-31)  | Y(2023-04-01)  | Y(2023-07-01)  | Y(2023-09-30)  | 2023-11-03  | 2023-11-03  | +0
2024 | Y(2023-12-30)  | Y(2024-03-30)  | Y(2024-06-29)  | Y(2024-09-28)  | 2024-11-01  | 2024-11-01  | +0
2025 | Y(2024-12-28)  | Y(2025-03-29)  | Y(2025-06-28)  | Y(2025-09-27)  | 2025-10-31  | 2025-10-31  | +0
2026 | N              | Y(2026-03-28)  | N              | N              | ---         | ---         | —
Pattern: Q4 contemporaneous with FY for FY2021+, year-lagged for FY2009-2019.

=== MSFT ===
FY   | Q1             | Q2             | Q3             | Q4             | FY accepted | Q4 accepted | Q4 lag (days)
2008 | Y(2008-09-30)  | Y(2008-12-31)  | N              | N              | 2010-07-30  | ---         | —
2009 | Y(2009-09-30)  | Y(2009-12-31)  | Y(2009-03-31)  | Y(2009-06-30)  | 2010-07-30  | 2010-07-30  | +0
2010 | Y(2010-09-30)  | Y(2010-12-31)  | Y(2010-03-31)  | Y(2010-06-30)  | 2010-07-30  | 2011-07-28  | +363
2011 | Y(2011-09-30)  | Y(2011-12-31)  | Y(2011-03-31)  | Y(2011-06-30)  | 2011-07-28  | 2012-07-26  | +364
2012 | Y(2012-09-30)  | Y(2012-12-31)  | Y(2012-03-31)  | Y(2012-06-30)  | 2012-07-26  | 2013-07-30  | +369
2013 | Y(2013-09-30)  | Y(2013-12-31)  | Y(2013-03-31)  | Y(2013-06-30)  | 2013-07-30  | 2014-07-31  | +366
2014 | Y(2014-09-30)  | Y(2014-12-31)  | Y(2014-03-31)  | Y(2014-06-30)  | 2014-07-31  | 2015-07-31  | +365
2015 | Y(2015-09-30)  | Y(2015-12-31)  | Y(2015-03-31)  | Y(2015-06-30)  | 2015-07-31  | 2016-07-28  | +363
2016 | Y(2016-09-30)  | Y(2016-12-31)  | Y(2016-03-31)  | Y(2016-06-30)  | 2016-07-28  | 2017-08-02  | +370
2017 | Y(2017-09-30)  | Y(2017-12-31)  | Y(2017-03-31)  | Y(2017-06-30)  | 2017-08-02  | 2018-08-03  | +366
2018 | Y(2018-09-30)  | Y(2018-12-31)  | Y(2018-03-31)  | Y(2018-06-30)  | 2018-08-03  | 2019-08-01  | +363
2019 | Y(2019-09-30)  | Y(2019-12-31)  | Y(2019-03-31)  | Y(2019-06-30)  | 2019-08-01  | 2020-07-30  | +364
2020 | Y(2020-09-30)  | Y(2020-12-31)  | Y(2020-03-31)  | Y(2020-06-30)  | 2020-07-30  | 2021-07-29  | +364
2021 | Y(2021-09-30)  | Y(2021-12-31)  | Y(2021-03-31)  | Y(2021-06-30)  | 2021-07-29  | 2022-07-28  | +364
2022 | Y(2022-09-30)  | Y(2022-12-31)  | Y(2022-03-31)  | Y(2022-06-30)  | 2022-07-28  | 2023-07-27  | +364
2023 | Y(2023-09-30)  | Y(2023-12-31)  | Y(2023-03-31)  | Y(2023-06-30)  | 2023-07-27  | 2024-07-30  | +369
2024 | Y(2024-09-30)  | Y(2024-12-31)  | Y(2024-03-31)  | Y(2024-06-30)  | 2024-07-30  | 2025-07-30  | +365
2025 | Y(2025-09-30)  | Y(2025-12-31)  | Y(2025-03-31)  | N              | 2025-07-30  | ---         | —
2026 | N              | N              | Y(2026-03-31)  | N              | ---         | ---         | —
Pattern: mixed — contemporaneous FY[2009], year-lagged FY[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024].

=== GOOGL ===
FY   | Q1             | Q2             | Q3             | Q4             | FY accepted | Q4 accepted | Q4 lag (days)
2013 | N              | N              | N              | N              | 2016-02-11  | ---         | —
2014 | N              | N              | Y(2014-09-30)  | N              | 2016-02-11  | ---         | —
2015 | Y(2015-03-31)  | Y(2015-06-30)  | Y(2015-03-31)  | Y(2015-12-31)  | 2016-02-11  | 2017-02-03  | +358
2016 | Y(2016-03-31)  | Y(2016-06-30)  | Y(2016-09-30)  | Y(2016-12-31)  | 2017-02-03  | 2017-02-03  | +0
2017 | Y(2017-03-31)  | Y(2017-06-30)  | Y(2017-09-30)  | Y(2017-12-31)  | 2018-02-06  | 2018-02-06  | +0
2018 | Y(2018-03-31)  | Y(2018-06-30)  | Y(2018-09-30)  | Y(2018-12-31)  | 2019-02-05  | 2019-02-05  | +0
2019 | Y(2019-03-31)  | Y(2019-06-30)  | Y(2019-09-30)  | Y(2019-12-31)  | 2020-02-04  | 2020-02-04  | +0
2020 | Y(2020-03-31)  | Y(2020-06-30)  | Y(2020-09-30)  | Y(2020-12-31)  | 2021-02-03  | 2021-02-03  | +0
2021 | Y(2021-03-31)  | Y(2021-06-30)  | Y(2021-09-30)  | Y(2021-12-31)  | 2022-02-02  | 2022-02-02  | +0
2022 | Y(2022-03-31)  | Y(2022-06-30)  | Y(2022-09-30)  | Y(2022-12-31)  | 2023-02-03  | 2023-02-03  | +0
2023 | Y(2023-03-31)  | Y(2023-06-30)  | Y(2023-09-30)  | Y(2023-12-31)  | 2024-01-31  | 2024-01-31  | +0
2024 | Y(2024-03-31)  | Y(2024-06-30)  | Y(2024-09-30)  | Y(2024-12-31)  | 2025-02-05  | 2025-02-05  | +0
2025 | Y(2025-03-31)  | Y(2025-06-30)  | Y(2025-09-30)  | Y(2025-12-31)  | 2026-02-05  | 2026-02-05  | +0
